elements;atomic_radius;lattice_parameter;burgers_vector;poisson_ratio;young_modulus;shear_modulus;shear;atomic_size;Tm
Al;1.3126249;3.7126638;2.6252497;0.37;64.5582347;23.3714018;24;1.432;933.74
Co;1.2530841;3.544257;2.5061682;0.29;269.175053;97.4468766;102;1.251;1768
Cr;1.2843456;3.6326778;2.5686911;0.69;191.1618146;69.2044881;-81;1.249;2180
Cu;1.2744841;3.6047854;2.5489682;0.34;128.0604534;46.3605043;51;1.278;1357.77
Fe;1.28855;3.6445697;2.5770999;0.47;194.4118575;70.3810701;9;1.241;1811
Ga;1.3302253;3.7624454;2.6604507;0.3811374;27.0268833;9.7842847;;1.392;302.91
Ge;1.3169478;3.7248908;2.6338956;0.55;188.0737795;68.0865562;-6;1.24;1211.4
Hf;1.6470706;4.6586192;3.2941413;0.31;129.6447077;46.9340368;45;1.578;2506
Mn;1.3550076;3.8325402;2.7100152;0.3;38.0373904;13.7703136;131;1.35;1519
Mo;1.4125166;3.9952002;2.8250332;0.56;203.2112262;73.5666217;-29;1.363;2896
Nb;1.4846432;4.199205;2.9692863;0.72;112.7306227;40.8107919;-63;1.429;2750
Ni;1.24;3.5240175;2.4918566;0.29;209.9328859;76;95;1.246;1728
Si;1.2256518;3.4666667;2.4513035;0.46;186.616245;67.5588989;7;1.153;1687
Sn;1.5748822;4.4544396;3.1497644;0.26;-192.7639436;-69.7844916;52;1.62;505.08
Ta;1.4879716;4.2086193;2.9759432;0.23;181.1714804;65.5877827;125;1.43;3290
Ti;1.3953989;3.9467842;2.7907979;0.37;84.8745783;30.7263339;30;1.462;1941
V;1.3054081;3.6922517;2.6108162;0.55;181.4700104;65.6958567;-17;1.316;2183
W;1.4023728;3.9665093;2.8047456;0.7;274.4689688;99.3633824;-101;1.367;3695
Zn;1.3406209;3.7918486;2.6812419;0.3811374;94.1933533;34.0999211;;1.395;692.68
Zr;1.553972;4.3952966;3.1079441;0.35;-102.4071895;-37.0734979;30;1.603;2128
